"","HGNC.symbol","MGI.symbol","cluster"
"1","KRT17","Krt17","tp53_pathway"
"2","BAX","Bax","tp53_pathway"
"3","RRP8","Rrp8","tp53_pathway"
"4","PPP1R15A","Ppp1r15a","tp53_pathway"
"5","CCNG1","Ccng1","tp53_pathway"
"6","BTG1","Btg1c","tp53_pathway"
"7","DDIT3","Ddit3","tp53_pathway"
"8","DDB2","Ddb2","tp53_pathway"
"9","CDK5R1","Cdk5r1","tp53_pathway"
"10","STEAP3","Steap3","tp53_pathway"
"11","SLC3A2","Slc3a2","tp53_pathway"
"12","CDKN2B","Cdkn2b","tp53_pathway"
"13","TPRKB","Tprkb","tp53_pathway"
"14","ST14","St14","tp53_pathway"
"15","TGFB1","Tgfb1","tp53_pathway"
"16","BAIAP2","Baiap2","tp53_pathway"
"17","TM4SF1","Tm4sf1","tp53_pathway"
"18","DRAM1","Dram1","tp53_pathway"
"19","LRMP","Lrmp","tp53_pathway"
"20","ZFP36L1","Zfp36l1","tp53_pathway"
"21","HSPA4L","Hspa4l","tp53_pathway"
"22","BTG2","Btg2","tp53_pathway"
"23","DCXR","Dcxr","tp53_pathway"
"24","GLS2","Gls2","tp53_pathway"
"25","WWP1","Wwp1","tp53_pathway"
"26","RAD51C","Rad51c","tp53_pathway"
"27","KLK8","Klk8","tp53_pathway"
"28","ZMAT3","Zmat3","tp53_pathway"
"29","RNF19B","Rnf19b","tp53_pathway"
"30","PTPRE","Ptpre","tp53_pathway"
"31","CTSF","Ctsf","tp53_pathway"
"32","TAX1BP3","Tax1bp3","tp53_pathway"
"33","CDKN1A","Cdkn1a","tp53_pathway"
"34","SPHK1","Sphk1","tp53_pathway"
"35","FBXW7","Fbxw7","tp53_pathway"
"36","DEF6","Def6","tp53_pathway"
"37","PERP","Perp","tp53_pathway"
"38","TOB1","Tob1","tp53_pathway"
"39","IL1A","Il1a","tp53_pathway"
"40","CD82","Cd82","tp53_pathway"
"41","TCN2","Tcn2","tp53_pathway"
"42","WRAP73","Wrap73","tp53_pathway"
"43","CDH13","Cdh13","tp53_pathway"
"44","DGKA","Dgka","tp53_pathway"
"45","UPP1","Upp1","tp53_pathway"
"46","XPC","Xpc","tp53_pathway"
"47","GM2A","Gm2a","tp53_pathway"
"48","S100A4","S100a4","tp53_pathway"
"49","TXNIP","Txnip","tp53_pathway"
"50","TPD52L1","Tpd52l1","tp53_pathway"
"51","EPS8L2","Eps8l2","tp53_pathway"
"52","SLC7A11","Slc7a11","tp53_pathway"
"53","MDM2","Mdm2","tp53_pathway"
"54","NINJ1","Ninj1","tp53_pathway"
"55","NUPR1","Nupr1","tp53_pathway"
"56","TAP1","Tap1","tp53_pathway"
"57","SLC35D1","Slc35d1","tp53_pathway"
"58","AK1","Ak1","tp53_pathway"
"59","ABCC5","Abcc5","tp53_pathway"
"60","CCND2","Ccnd2","tp53_pathway"
"61","MXD1","Mxd1","tp53_pathway"
"62","RHBDF2","Rhbdf2","tp53_pathway"
"63","TRAFD1","Trafd1","tp53_pathway"
"64","CDKN2AIP","Cdkn2aip","tp53_pathway"
"65","HDAC3","Hdac3","tp53_pathway"
"66","BMP2","Bmp2","tp53_pathway"
"67","ANKRA2","Ankra2","tp53_pathway"
"68","JUN","Jun","tp53_pathway"
"69","OSGIN1","Osgin1","tp53_pathway"
"70","FOS","Fos","tp53_pathway"
"71","GADD45A","Gadd45a","tp53_pathway"
"72","LIF","Lif","tp53_pathway"
"73","PDGFA","Pdgfa","tp53_pathway"
"74","H1-2","H1f2","tp53_pathway"
"75","F2R","F2r","tp53_pathway"
"76","ERCC5","Ercc5","tp53_pathway"
"77","TGFA","Tgfa","tp53_pathway"
"78","NHLH2","Nhlh2","tp53_pathway"
"79","SERPINB5","Serpinb5","tp53_pathway"
"80","RXRA","Rxra","tp53_pathway"
"81","RAD9A","Rad9a","tp53_pathway"
"82","HEXIM1","Hexim1","tp53_pathway"
"83","KLF4","Klf4","tp53_pathway"
"84","FAS","Fas","tp53_pathway"
"85","CCP110","Ccp110","tp53_pathway"
"86","ZNF365","Zfp365","tp53_pathway"
"87","RAB40C","Rab40c","tp53_pathway"
"88","PRKAB1","Prkab1","tp53_pathway"
"89","DDIT4","Ddit4","tp53_pathway"
"90","SFN","Sfn","tp53_pathway"
"91","S100A10","S100a10","tp53_pathway"
"92","CGRRF1","Cgrrf1","tp53_pathway"
"93","TCHH","Tchh","tp53_pathway"
"94","HRAS","Hras","tp53_pathway"
"95","CYFIP2","Cyfip2","tp53_pathway"
"96","CTSD","Ctsd","tp53_pathway"
"97","CTSD","Gm49369","tp53_pathway"
"98","SDC1","Sdc1","tp53_pathway"
"99","CCNK","Ccnk","tp53_pathway"
"100","SLC19A2","Slc19a2","tp53_pathway"
"101","PIDD1","Pidd1","tp53_pathway"
"102","RPS27L","Rps27l","tp53_pathway"
"103","VAMP8","Vamp8","tp53_pathway"
"104","APP","App","tp53_pathway"
"105","TNNI1","Tnni1","tp53_pathway"
"106","SERTAD3","Sertad3","tp53_pathway"
"107","PTPN14","Ptpn14","tp53_pathway"
"108","PCNA","Pcna","tp53_pathway"
"109","RCHY1","Rchy1","tp53_pathway"
"110","RB1","Rb1","tp53_pathway"
"111","TM7SF3","Tm7sf3","tp53_pathway"
"112","POLH","Polh","tp53_pathway"
"113","EPHX1","Ephx1","tp53_pathway"
"114","NUDT15","Nudt15","tp53_pathway"
"115","KIF13B","Kif13b","tp53_pathway"
"116","GPX2","Gpx2","tp53_pathway"
"117","IER3","Ier3","tp53_pathway"
"118","ELP1","Elp1","tp53_pathway"
"119","TP63","Trp63","tp53_pathway"
"120","ADA","Ada","tp53_pathway"
"121","FAM162A","Fam162a","tp53_pathway"
"122","MKNK2","Mknk2","tp53_pathway"
"123","ITGB4","Itgb4","tp53_pathway"
"124","IRAK1","Irak1","tp53_pathway"
"125","HMOX1","Hmox1","tp53_pathway"
"126","NOTCH1","Notch1","tp53_pathway"
"127","RAP2B","Rap2b","tp53_pathway"
"128","AEN","Aen","tp53_pathway"
"129","BTG1","Btg1b","tp53_pathway"
"130","PMM1","Pmm1","tp53_pathway"
"131","PRMT2","Prmt2","tp53_pathway"
"132","PLK3","Plk3","tp53_pathway"
"133","LDHB","Ldhb","tp53_pathway"
"134","FUCA1","Fuca1","tp53_pathway"
"135","NOL8","Nol8","tp53_pathway"
"136","DNTTIP2","Dnttip2","tp53_pathway"
"137","CASP1","Casp1","tp53_pathway"
"138","STOM","Stom","tp53_pathway"
"139","TSPYL2","Tspyl2","tp53_pathway"
"140","PHLDA3","Phlda3","tp53_pathway"
"141","INHBB","Inhbb","tp53_pathway"
"142","BAK1","Bak1","tp53_pathway"
"143","VWA5A","Vwa5a","tp53_pathway"
"144","VWA5A","AW551984","tp53_pathway"
"145","ACVR1B","Acvr1b","tp53_pathway"
"146","PPM1D","Ppm1d","tp53_pathway"
"147","RPL36","Rpl36","tp53_pathway"
"148","SESN1","Sesn1","tp53_pathway"
"149","PLK2","Plk2","tp53_pathway"
"150","SAT1","Sat1","tp53_pathway"
"151","TRIB3","Trib3","tp53_pathway"
"152","CSRNP2","Csrnp2","tp53_pathway"
"153","RPS12","Rps12","tp53_pathway"
"154","IER5","Ier5","tp53_pathway"
"155","HINT1","Hint1","tp53_pathway"
"156","APAF1","Apaf1","tp53_pathway"
"157","RETSAT","Retsat","tp53_pathway"
"158","H2AJ","H2aj","tp53_pathway"
"159","FOXO3","Foxo3","tp53_pathway"
"160","ATF3","Atf3","tp53_pathway"
"161","MXD4","Mxd4","tp53_pathway"
"162","SP1","Sp1","tp53_pathway"
"163","VDR","Vdr","tp53_pathway"
"164","ISCU","Iscu","tp53_pathway"
"165","EPHA2","Epha2","tp53_pathway"
"166","RRAD","Rrad","tp53_pathway"
"167","ALOX15B","Alox8","tp53_pathway"
"168","TRAF4","Traf4","tp53_pathway"
"169","RACK1","Rack1","tp53_pathway"
"170","CLCA2","Clca2","tp53_pathway"
"171","TSC22D1","Tsc22d1","tp53_pathway"
"172","SEC61A1","Sec61a1","tp53_pathway"
"173","CCND3","Ccnd3","tp53_pathway"
"174","HBEGF","Hbegf","tp53_pathway"
"175","SOCS1","Socs1","tp53_pathway"
"176","POM121","Pom121","tp53_pathway"
"177","EI24","Ei24","tp53_pathway"
"178","TP53","Trp53","tp53_pathway"
"179","IP6K2","Ip6k2","tp53_pathway"
"180","PROCR","Procr","tp53_pathway"
"181","JAG2","Jag2","tp53_pathway"
"182","RGS16","Rgs16","tp53_pathway"
"183","ABAT","Abat","tp53_pathway"
"184","H2AW","H2aw","tp53_pathway"
"185","RALGDS","Ralgds","tp53_pathway"
"186","TRIAP1","Triap1","tp53_pathway"
"187","CEBPA","Cebpa","tp53_pathway"
"188","CD81","Cd81","tp53_pathway"
"189","NDRG1","Ndrg1","tp53_pathway"
"190","BLCAP","Blcap","tp53_pathway"
"191","MAPKAPK3","Mapkapk3","tp53_pathway"
"192","RPL18","Rpl18","tp53_pathway"
"193","ZBTB16","Zbtb16","tp53_pathway"
"194","ABHD4","Abhd4","tp53_pathway"
"195","PLXNB2","Plxnb2","tp53_pathway"
"196","COQ8A","Coq8a","tp53_pathway"
"197","TNFSF9","Tnfsf9","tp53_pathway"
